,Volume(BTC),Volume(Currency)
2020-09-20,59792.62,526814820.0
2020-09-27,61967.625,636820600.0
2020-10-04,58584.9,561429300.0
2020-10-11,60555.86,596389900.0
2020-10-18,60380.133,624410700.0
2020-10-25,60338.074,623065340.0
2020-11-01,60246.062,645222660.0
2020-11-08,60123.508,661836740.0
2020-11-15,60015.17,675518340.0
2020-11-22,59864.625,692036900.0
2020-11-29,59753.18,706867300.0
2020-12-06,59670.945,720957000.0
2020-12-13,59668.73,734576830.0
2020-12-20,59804.945,747372100.0
2020-12-27,60125.4,759580600.0
