date,Open
2020-09-15,10370.207539728694
2020-09-16,10393.846876445972
2020-09-17,10419.73344604481
2020-09-18,10445.070911752067
2020-09-19,10470.641609784549
2020-09-20,10496.226888423453
2020-09-21,10521.888117638293
2020-09-22,10547.608363121071
2020-09-23,10573.392515181116
2020-09-24,10599.239399500559
2020-09-25,10625.1496332031
2020-09-26,10651.123080100939
2020-09-27,10677.160031077223
2020-09-28,10703.260620339433
2020-09-29,10729.424989494337
2020-09-30,10755.65339851392
2020-10-01,10781.9458552843
2020-10-02,10808.302619431171
2020-10-03,10834.723786076005
2020-10-04,10861.209554817218
2020-10-05,10887.760078783482
2020-10-06,10914.375492487894
2020-10-07,10941.055973598533
2020-10-08,10967.801642041777
2020-10-09,10994.612764586467
2020-10-10,11021.489379497278
2020-10-11,11048.431694301713
2020-10-12,11075.439904446856
2020-10-13,11102.514105352984
2020-10-14,11129.654504787566
2020-10-15,11156.861231739102
2020-10-16,11184.134494342792
2020-10-17,11211.474407155414
2020-10-18,11238.881146874546
2020-10-19,11266.354883879216
2020-10-20,11293.895796525348
2020-10-21,11321.504020169119
2020-10-22,11349.179782154477
2020-10-23,11376.923181274946
2020-10-24,11404.734365804738
2020-10-25,11432.613535777171
2020-10-26,11460.560869052764
2020-10-27,11488.5765042124
2020-10-28,11516.66061917572
2020-10-29,11544.813394615945
2020-10-30,11573.034989685733
2020-10-31,11601.325532884955
2020-11-01,11629.685294408404
2020-11-02,11658.114359726946
2020-11-03,11686.612925654785
2020-11-04,11715.181155404063
2020-11-05,11743.819102697813
2020-11-06,11772.527178357566
2020-11-07,11801.305465901412
2020-11-08,11830.154061905621
2020-11-09,11859.073188059003
2020-11-10,11888.062998870759
2020-11-11,11917.123678637694
2020-11-12,11946.255451544972
2020-11-13,11975.458419997307
2020-11-14,12004.732784009424
2020-11-15,12034.07871262182
2020-11-16,12063.496393658914
2020-11-17,12092.98589118342
2020-11-18,12122.547542897297
2020-11-19,12152.18141990519
2020-11-20,12181.88774390663
2020-11-21,12211.666680720436
2020-11-22,12241.518373801204
2020-11-23,12271.44308538145
2020-11-24,12301.440938062324
2020-11-25,12331.512129308741
2020-11-26,12361.65682973594
2020-11-27,12391.875219784186
2020-11-28,12422.167540371825
2020-11-29,12452.533893236505
2020-11-30,12482.974457334878
2020-12-01,12513.489411778546
2020-12-02,12544.079011879972
2020-12-03,12574.743394122315
2020-12-04,12605.48269614812
2020-12-05,12636.297124177077
2020-12-06,12667.186880838153
2020-12-07,12698.152202251445
2020-12-08,12729.193221200318
2020-12-09,12760.310152851851
2020-12-10,12791.50304843151
2020-12-11,12822.772153117341
2020-12-12,12854.117636973702
2020-12-13,12885.539903955761
2020-12-14,12917.038937521718
2020-12-15,12948.614974525502
2020-12-16,12980.268199217715
2020-12-17,13011.998818322973
2020-12-18,13043.807008879148
2020-12-19,13075.692846332333
2020-12-20,13107.656721468025
2020-12-21,13139.698740570728
2020-12-22,13171.819098488848
2020-12-23,13204.017932610011
2020-12-24,13236.295515836673
2020-12-25,13268.652025903386
2020-12-26,13301.087586747328
2020-12-27,13333.602437750951
2020-12-28,13366.19688409687
2020-12-29,13398.870891465567
2020-12-30,13431.624798645806
2020-12-31,13464.458744934605
